legura,kolicina,kom,masina,duzina,profil,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,vm_1,vm_2,vm_3,vm_4,vm_5,vm_6,vm_7,vm_8,vm_9,vm_10,vm_11,vm_12,vm_13,vm_14
Q90,47242,5,L39,7400,400 X 1200,0,0,4000,14000,4000,3000,1000,15000,3000,6000,0,0,0,0,,,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A31N nebojeni, baliran-U, pre-con","A3N nebojeni, baliran-D, post-con","A5N mix (5xxx/6xxx),baliran-U, pre-con",,,,
Q90,50274,5,L39,7000,400 X 1350,0,0,4000,15000,4000,3000,1000,15000,3000,7000,0,0,0,0,,,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A31N nebojeni, baliran-U, pre-con","A3N nebojeni, baliran-D, post-con","A5N mix (5xxx/6xxx),baliran-U, pre-con",,,,
Q90,50274,5,L39,7000,400 X 1350,0,0,4000,16000,4000,3000,1000,15000,8000,2000,0,0,0,0,,,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A31N nebojeni, baliran-U, pre-con","A5N mix (5xxx/6xxx),baliran-U, pre-con","A6 stranice kamiona-D, post-con",,,,
EW3,10970,2,L51,4400,400 X 1150,2000,0,2000,500,2000,0,0,2000,2000,2000,0,0,0,0,"AL ingoti  99,7% - T",,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",AF60,,,"A0 vre?e-U, post-con","A1 balirano-U, pre-con","A41 sekundarni ingoti-U, pre-con",,,,
EW3,10536,2,L51,3600,400 X 1350,0,0,2000,2000,2000,500,0,1000,1500,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-D, post-con","A5N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-D, post-con",,,
Q92,49784,4,L39,8600,400 X 1350,38000,0,4000,6000,3000,1000,0,0,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"P32 (P32,P32S,P32R, ?)","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P32,,,,,,,,
Q90,49029,4,L39,7200,400 X 1600,5000,0,4000,19000,4000,3000,1000,12000,2000,2000,0,0,0,5,"AL ingoti  99,7% - T",,"P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX","P30 (P30,P21,P23,P30R, P36,P35,P38?) Serija 5XXX",Metal sa livenja P30,"A31N nebojeni, baliran-U, pre-con","A3N nebojeni, vre?e-D, pre-con","A6 stranice kamiona-D, post-con",,,,ALBe5%
EW3,13593,3,L51,3800,400 X 1100,0,0,2000,5000,2000,500,0,1000,1000,2000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A4N nebojeni, baliran-U, post-con","A5N nebojeni, vre?e-D, post-con","A41 sekundarni ingoti-U, pre-con","A6 stranice kamiona-U, post-con",,,
EW3,13658,2,L51,4200,400 X 1500,0,0,2000,3500,2000,500,0,1000,2000,3000,1000,0,0,0,,,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",M13-BOJENO Serija 3XXX,"M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX","M13 (M13,M14,M12,M14K,M15,M16?) Serija 3XXX",,"A0 vre?e-D, pre-con","A4N nebojeni, baliran-U, post-con","A41 sekundarni ingoti-U, pre-con","A51N nebojeni, vre?e-D, post-con",,,
Y80,9850,2,L42,3800,400 X 1200,7000,0,1500,500,0,0,0,1500,0,0,0,0,0,0,"AL ingoti  99,7% - T",,"A30 (A30,A31,A29,A33,A40?) Serija 1XXX","A30 (A30,A31,A29,A33,A40?) Serija 1XXX",,,,"A1 balirano-U, post-con",,,,,,
